batch,accuracy,loss
0,0.296875,12.234098434448242
1,0.34375,53.549861907958984
2,0.3489583432674408,58.419132232666016
3,0.33984375,49.980133056640625
4,0.34062498807907104,40.85181427001953
5,0.3489583432674408,35.357337951660156
6,0.3459821343421936,30.801721572875977
7,0.34375,27.144906997680664
8,0.3472222089767456,24.26182746887207
9,0.35624998807907104,21.924327850341797
10,0.3650568127632141,19.9973201751709
11,0.3645833432674408,18.400331497192383
12,0.36057692766189575,17.044282913208008
13,0.359375,15.88612174987793
14,0.36000001430511475,15.818571090698242
15,0.453125,0.6304712295532227
16,0.4453125,0.6680248975753784
17,0.4114583432674408,0.7044733166694641
18,0.41796875,0.7026344537734985
19,0.4156250059604645,0.6940464973449707
20,0.4348958432674408,0.6814475655555725
21,0.4285714328289032,0.6764258742332458
22,0.423828125,0.6738297343254089
23,0.4322916567325592,0.6650727391242981
24,0.4359374940395355,0.658334493637085
25,0.42471590638160706,0.6569357514381409
26,0.4348958432674408,0.6510975956916809
27,0.4375,0.6468572020530701
28,0.4464285671710968,0.6407860517501831
29,0.4466666579246521,0.6404427886009216
30,0.59375,0.5576694011688232
31,0.65625,0.5176175832748413
32,0.5989583134651184,0.5364794135093689
33,0.57421875,0.5532840490341187
34,0.5625,0.5544758439064026
35,0.5885416865348816,0.5488213300704956
36,0.59375,0.5435203909873962
37,0.58984375,0.5433307886123657
38,0.5954861044883728,0.539861261844635
39,0.606249988079071,0.5355491042137146
40,0.609375,0.5303496718406677
41,0.6145833134651184,0.5255398750305176
42,0.6177884340286255,0.520798921585083
43,0.6171875,0.5170937180519104
44,0.6166666746139526,0.5169757008552551
45,0.6875,0.44041693210601807
46,0.6640625,0.4401763677597046
47,0.6145833134651184,0.4639267921447754
48,0.62890625,0.4587804675102234
49,0.640625,0.453840970993042
50,0.6588541865348816,0.44073882699012756
51,0.6674107313156128,0.42974337935447693
52,0.69140625,0.41779252886772156
53,0.6944444179534912,0.41538286209106445
54,0.6953125,0.41842442750930786
55,0.7073863744735718,0.4094671308994293
56,0.7161458134651184,0.40347445011138916
57,0.7247596383094788,0.39619240164756775
58,0.7287946343421936,0.3939293324947357
59,0.7300000190734863,0.3935757875442505
60,0.6875,0.3841257393360138
61,0.6796875,0.4055418372154236
62,0.7083333134651184,0.3721567392349243
63,0.7265625,0.35831549763679504
64,0.7437499761581421,0.3606981635093689
65,0.7604166865348816,0.3543480932712555
66,0.7700892686843872,0.3489777147769928
67,0.78515625,0.34099510312080383
68,0.7899305820465088,0.3346967399120331
69,0.793749988079071,0.3312320113182068
70,0.8039772510528564,0.32361844182014465
71,0.8059895634651184,0.31920966506004333
72,0.8088942170143127,0.31442463397979736
73,0.8102678656578064,0.30977925658226013
74,0.8100000023841858,0.3103300631046295
